sector,land_type,total_area_hectares,affected_landowners_count,plots_count,current_stage,days_in_current_stage,env_forest_clearance_status,litigation_cases_count,public_objections_count,compensation_disparity_ratio,sia_completed,rr_plan_approved,risk_score,is_delayed,delay_stage
Industrial,Agricultural,65.75,172,275,Survey & Demarcation,74,Approved,0,5,0.75,1,1,9.8,0,Compensation
Highways,Agricultural,85.08,118,167,Award & Compensation (Sec 23),109,Pending,0,2,1.01,1,1,38.6,0,Approval
Irrigation,Residential,363.88,1127,1982,Award & Compensation (Sec 23),162,Not Applicable,1,3,0.85,1,1,33.9,0,Documentation/Survey
Industrial,Commercial,7.65,47,114,Physical Possession,51,Approved,0,6,0.91,1,1,5.0,0,Compensation
Highways,Agricultural,205.67,422,972,Physical Possession,69,Pending,0,3,0.61,1,0,60.1,1,Rehabilitation & Resettlement
Energy,Agricultural,61.06,160,353,Declaration of Acquisition (Sec 19),71,Approved,0,4,1.01,1,0,22.1,0,Rehabilitation & Resettlement
Highways,Residential,73.8,343,614,Survey & Demarcation,170,Pending,3,0,0.86,1,0,98.0,1,Legal
Highways,Agricultural,212.73,432,659,Preliminary Notification (Sec 11),81,Approved,2,0,0.67,1,0,67.3,1,Legal
Energy,Agricultural,69.71,126,146,Survey & Demarcation,105,Approved,3,0,0.79,1,1,53.2,1,Legal
Irrigation,Commercial,388.58,2178,4082,R&R Implementation,30,Not Applicable,0,7,0.73,1,1,53.5,1,Compensation
Railways,Commercial,94.32,388,761,Hearing of Objections (Sec 15),35,Approved,0,2,0.74,1,0,50.6,1,Rehabilitation & Resettlement
Energy,Agricultural,38.03,61,134,Survey & Demarcation,33,Approved,0,5,0.7,1,0,29.1,0,Compensation
Urban Infrastructure,Government/Barren,55.88,28,44,Survey & Demarcation,207,Pending,0,0,0.99,1,1,41.2,0,Approval
Industrial,Agricultural,51.64,75,87,Hearing of Objections (Sec 15),161,Not Applicable,0,6,0.86,1,1,36.3,0,Possession
Industrial,Agricultural,76.9,214,404,Survey & Demarcation,207,Not Applicable,0,2,0.88,1,1,28.3,0,Documentation/Survey
Irrigation,Agricultural,361.88,691,1686,Survey & Demarcation,65,Approved,0,0,0.7,1,0,47.4,0,Rehabilitation & Resettlement
Industrial,Agricultural,64.69,112,141,Hearing of Objections (Sec 15),88,Approved,0,5,0.93,1,0,10.6,0,Rehabilitation & Resettlement
Railways,Government/Barren,136.0,55,90,Preliminary Notification (Sec 11),190,Approved,3,0,0.72,1,1,85.2,1,Legal
Irrigation,Residential,180.18,795,1024,Declaration of Acquisition (Sec 19),72,Approved,0,2,0.67,1,1,22.5,0,Compensation
Energy,Forest,74.6,24,39,Physical Possession,170,Approved,0,5,0.91,1,1,23.2,0,Possession
Railways,Agricultural,247.37,595,1424,Hearing of Objections (Sec 15),127,Pending,1,2,1.05,1,1,45.2,0,Approval
Energy,Agricultural,27.12,37,77,Declaration of Acquisition (Sec 19),68,Not Applicable,0,1,0.78,1,1,13.4,0,Compensation
Industrial,Forest,10.56,4,9,Physical Possession,139,Pending,2,2,0.74,1,1,98.0,1,Legal
Industrial,Forest,19.89,10,24,Preliminary Notification (Sec 11),180,Approved,0,5,0.79,1,1,35.1,0,Compensation
Urban Infrastructure,Commercial,55.1,246,487,Hearing of Objections (Sec 15),119,Approved,0,4,0.61,1,1,37.1,0,Compensation
Irrigation,Commercial,270.13,1130,1614,Physical Possession,107,Approved,2,1,0.76,1,1,52.3,1,Legal
Urban Infrastructure,Agricultural,47.94,70,97,Preliminary Notification (Sec 11),36,Pending,0,1,0.77,1,1,38.2,0,Approval
Industrial,Agricultural,17.11,30,50,Physical Possession,18,Approved,3,7,0.92,1,1,50.7,1,Legal
Irrigation,Residential,418.23,2449,5649,Preliminary Notification (Sec 11),68,Approved,3,2,0.7,0,1,78.9,1,Legal
Railways,Agricultural,150.41,271,461,R&R Implementation,353,Approved,0,1,0.78,1,1,28.8,0,Documentation/Survey
Railways,Agricultural,147.34,328,513,Declaration of Acquisition (Sec 19),136,Not Applicable,0,7,0.75,1,1,32.6,0,Compensation
Railways,Agricultural,147.85,273,302,R&R Implementation,311,Pending,0,2,0.92,1,1,43.3,0,Approval
Highways,Agricultural,43.55,66,152,R&R Implementation,131,Approved,0,2,0.83,1,0,19.2,0,Compensation
Railways,Agricultural,63.05,137,287,R&R Implementation,47,Approved,0,1,0.95,1,1,5.0,0,Possession
Energy,Forest,9.58,3,3,Survey & Demarcation,174,Pending,0,4,0.93,1,1,42.6,0,Approval
Industrial,Agricultural,24.72,33,73,Preliminary Notification (Sec 11),24,Approved,0,2,0.78,1,1,20.6,0,Compensation
Irrigation,Government/Barren,85.0,46,59,Hearing of Objections (Sec 15),39,Not Applicable,0,1,0.82,1,1,11.7,0,Compensation
Industrial,Agricultural,47.04,93,205,Declaration of Acquisition (Sec 19),16,Pending,0,1,0.62,1,1,57.6,1,Approval
Highways,Agricultural,138.61,167,256,Hearing of Objections (Sec 15),71,Approved,0,3,0.65,1,0,36.6,0,Rehabilitation & Resettlement
Irrigation,Residential,387.76,2174,2507,R&R Implementation,137,Approved,0,4,0.99,1,0,17.6,0,Rehabilitation & Resettlement
Energy,Residential,67.8,390,601,Hearing of Objections (Sec 15),215,Pending,0,1,1.03,1,1,46.7,0,Approval
Highways,Agricultural,97.41,170,322,Award & Compensation (Sec 23),39,Pending,0,2,0.65,1,1,54.7,1,Compensation
Railways,Agricultural,165.94,438,598,R&R Implementation,500,Pending,2,3,0.98,1,0,86.3,1,Legal
Industrial,Forest,52.33,26,29,Physical Possession,231,Approved,0,7,0.81,1,1,59.4,1,Possession
Urban Infrastructure,Agricultural,7.36,10,20,Hearing of Objections (Sec 15),148,Approved,3,1,0.98,1,1,39.5,0,Legal
Irrigation,Commercial,317.11,1649,3501,Declaration of Acquisition (Sec 19),104,Approved,2,2,0.86,1,1,47.7,0,Legal
Highways,Agricultural,231.75,606,1485,Preliminary Notification (Sec 11),79,Not Applicable,0,0,0.52,1,1,29.8,0,Compensation
Railways,Government/Barren,36.19,11,22,Declaration of Acquisition (Sec 19),58,Not Applicable,0,1,0.74,1,1,22.7,0,Compensation
Irrigation,Commercial,418.91,2232,3781,Hearing of Objections (Sec 15),75,Approved,4,2,0.96,1,1,30.0,0,Legal
Railways,Agricultural,94.8,212,359,Survey & Demarcation,55,Approved,1,0,0.89,1,0,51.9,1,Rehabilitation & Resettlement
Railways,Agricultural,134.14,308,343,Award & Compensation (Sec 23),28,Pending,0,4,0.58,1,1,49.7,0,Compensation
Highways,Agricultural,237.83,554,809,Hearing of Objections (Sec 15),99,Approved,0,1,0.82,1,1,13.6,0,Documentation/Survey
Railways,Agricultural,19.12,32,63,Declaration of Acquisition (Sec 19),44,Approved,0,2,1.01,1,1,5.0,0,Compensation
Energy,Forest,10.74,3,3,Survey & Demarcation,15,Rejected,0,1,0.89,1,1,67.7,1,Approval
Highways,Commercial,76.33,289,525,Award & Compensation (Sec 23),37,Not Applicable,0,1,0.79,1,0,29.5,0,Rehabilitation & Resettlement
Irrigation,Forest,193.17,60,67,R&R Implementation,25,Pending,2,4,0.86,1,1,75.9,1,Legal
Industrial,Forest,57.33,26,37,Award & Compensation (Sec 23),101,Pending,0,2,0.98,1,1,45.0,0,Approval
Highways,Commercial,145.76,651,930,Hearing of Objections (Sec 15),25,Not Applicable,2,4,0.74,1,1,46.5,0,Legal
Urban Infrastructure,Commercial,12.92,76,185,R&R Implementation,60,Pending,2,1,0.68,1,0,79.5,1,Legal
Energy,Residential,35.77,178,350,Declaration of Acquisition (Sec 19),127,Approved,0,2,1.04,1,1,5.4,0,Documentation/Survey
Energy,Government/Barren,73.49,28,59,Physical Possession,99,Approved,0,0,0.81,1,1,26.9,0,Compensation
Irrigation,Residential,53.1,149,305,Survey & Demarcation,48,Not Applicable,0,0,0.84,1,1,5.0,0,Documentation/Survey
Highways,Agricultural,232.94,514,882,R&R Implementation,171,Pending,2,2,0.98,1,1,58.0,1,Legal
Urban Infrastructure,Agricultural,38.35,94,195,R&R Implementation,106,Approved,0,0,0.69,1,0,33.7,0,Rehabilitation & Resettlement
Industrial,Agricultural,26.92,48,95,Award & Compensation (Sec 23),19,Approved,1,2,0.59,1,1,50.8,1,Compensation
Industrial,Agricultural,41.15,81,132,Award & Compensation (Sec 23),98,Pending,1,3,0.73,1,0,65.1,1,Approval
Energy,Government/Barren,20.19,9,14,R&R Implementation,63,Approved,0,2,0.77,1,1,10.6,0,Compensation
Irrigation,Agricultural,169.59,278,595,Award & Compensation (Sec 23),54,Pending,0,0,0.92,1,1,22.5,0,Approval
Highways,Forest,142.46,43,76,Survey & Demarcation,270,Approved,0,0,0.85,1,1,47.8,0,Documentation/Survey
Industrial,Agricultural,44.91,78,159,Physical Possession,114,Approved,0,3,1.07,1,1,8.8,0,Compensation
Industrial,Forest,19.52,5,7,Preliminary Notification (Sec 11),105,Pending,0,1,0.68,0,1,88.9,1,Approval
Irrigation,Commercial,152.93,557,1341,Hearing of Objections (Sec 15),235,Not Applicable,3,3,0.94,1,1,44.3,0,Legal
Irrigation,Commercial,418.34,1434,2906,Survey & Demarcation,16,Approved,0,4,0.8,1,1,10.3,0,Documentation/Survey
Highways,Commercial,176.63,1054,1878,Declaration of Acquisition (Sec 19),26,Approved,0,7,0.79,1,0,51.0,1,Rehabilitation & Resettlement
Railways,Forest,62.0,16,23,Award & Compensation (Sec 23),43,Approved,0,8,1.03,1,1,31.0,0,Compensation
Irrigation,Agricultural,354.95,825,1202,Preliminary Notification (Sec 11),93,Pending,2,4,0.82,1,1,66.8,1,Legal
Energy,Forest,30.03,7,8,Award & Compensation (Sec 23),213,Pending,0,2,0.61,1,1,82.7,1,Compensation
Urban Infrastructure,Agricultural,48.14,92,201,R&R Implementation,108,Pending,0,1,0.93,1,0,34.8,0,Rehabilitation & Resettlement
Urban Infrastructure,Government/Barren,70.04,20,43,R&R Implementation,106,Approved,1,5,0.76,1,1,33.6,0,Compensation
Urban Infrastructure,Agricultural,14.23,38,43,Declaration of Acquisition (Sec 19),413,Not Applicable,0,4,0.78,1,1,35.3,0,Compensation
Irrigation,Residential,387.36,1487,2033,Hearing of Objections (Sec 15),78,Not Applicable,0,2,0.79,1,1,16.9,0,Compensation
Highways,Residential,106.58,468,1138,Physical Possession,17,Approved,0,2,0.71,1,1,24.3,0,Documentation/Survey
Irrigation,Commercial,127.59,774,1897,Declaration of Acquisition (Sec 19),142,Pending,0,3,0.81,1,0,61.2,1,Rehabilitation & Resettlement
Irrigation,Commercial,286.34,936,1049,R&R Implementation,295,Not Applicable,3,0,0.84,1,0,92.9,1,Legal
Industrial,Residential,41.96,238,452,Declaration of Acquisition (Sec 19),387,Approved,2,0,0.93,1,0,60.5,1,Legal
Urban Infrastructure,Commercial,29.6,119,155,Preliminary Notification (Sec 11),58,Pending,0,1,0.83,0,1,56.2,1,Approval
Irrigation,Forest,253.94,82,140,Preliminary Notification (Sec 11),52,Approved,0,5,0.9,1,1,9.8,0,Compensation
Energy,Agricultural,78.13,197,249,Preliminary Notification (Sec 11),67,Pending,1,1,0.62,1,0,82.6,1,Approval
Railways,Residential,138.51,762,1438,Hearing of Objections (Sec 15),52,Approved,2,3,0.95,1,1,25.7,0,Legal
Irrigation,Agricultural,487.4,1281,2248,Award & Compensation (Sec 23),103,Approved,0,7,0.84,1,1,51.9,1,Compensation
Railways,Agricultural,166.83,304,416,Preliminary Notification (Sec 11),60,Not Applicable,0,1,0.66,1,0,48.5,0,Rehabilitation & Resettlement
Railways,Residential,208.23,967,1889,Hearing of Objections (Sec 15),73,Approved,0,2,0.81,1,1,17.1,0,Documentation/Survey
Energy,Government/Barren,70.2,31,70,Preliminary Notification (Sec 11),85,Not Applicable,0,1,0.96,1,1,7.9,0,Possession
Industrial,Forest,67.81,24,43,Award & Compensation (Sec 23),38,Rejected,0,7,0.98,1,1,70.1,1,Approval
Irrigation,Forest,66.77,24,53,Award & Compensation (Sec 23),157,Approved,0,0,0.66,1,1,48.8,0,Compensation
Industrial,Agricultural,17.04,35,80,Physical Possession,44,Pending,0,0,0.96,1,1,33.2,0,Approval
Irrigation,Residential,222.21,811,1695,Physical Possession,203,Approved,0,0,0.56,1,1,41.1,0,Documentation/Survey
Urban Infrastructure,Agricultural,44.96,82,195,Hearing of Objections (Sec 15),274,Approved,0,1,0.91,1,0,16.8,0,Rehabilitation & Resettlement
Railways,Agricultural,65.75,80,115,Physical Possession,29,Approved,0,1,0.94,1,1,5.0,0,Documentation/Survey
Urban Infrastructure,Government/Barren,29.01,10,24,Preliminary Notification (Sec 11),70,Approved,0,0,1.01,1,1,5.0,0,Possession
Energy,Commercial,39.9,190,223,Preliminary Notification (Sec 11),371,Pending,3,3,1.0,1,0,94.2,1,Legal
Industrial,Commercial,78.97,274,474,Preliminary Notification (Sec 11),79,Approved,0,9,0.84,1,0,50.3,1,Compensation
Energy,Agricultural,59.94,95,184,Preliminary Notification (Sec 11),25,Pending,4,5,0.98,1,1,63.7,1,Legal
Industrial,Agricultural,42.48,63,104,Hearing of Objections (Sec 15),73,Approved,0,1,0.9,1,1,5.0,0,Rehabilitation & Resettlement
Urban Infrastructure,Agricultural,47.25,121,294,Award & Compensation (Sec 23),119,Approved,0,4,0.62,1,1,43.1,0,Compensation
Energy,Government/Barren,75.55,37,56,Physical Possession,161,Approved,0,3,0.84,1,1,18.1,0,Compensation
Energy,Agricultural,32.43,51,114,Preliminary Notification (Sec 11),566,Approved,0,1,0.85,0,1,44.7,0,Approval
Urban Infrastructure,Agricultural,19.85,53,89,Physical Possession,116,Approved,2,8,0.68,1,1,77.2,1,Legal
Energy,Residential,45.71,228,486,Award & Compensation (Sec 23),100,Approved,0,2,0.95,1,1,5.9,0,Documentation/Survey
Industrial,Agricultural,20.27,31,61,R&R Implementation,62,Approved,0,2,0.77,1,1,13.5,0,Compensation
Industrial,Agricultural,56.03,130,307,Declaration of Acquisition (Sec 19),163,Approved,0,1,0.7,1,0,55.7,1,Rehabilitation & Resettlement
Highways,Residential,52.35,290,345,Survey & Demarcation,280,Approved,0,2,0.94,1,0,32.2,0,Rehabilitation & Resettlement
Railways,Agricultural,125.2,172,244,Survey & Demarcation,294,Not Applicable,1,0,0.79,1,0,69.8,1,Rehabilitation & Resettlement
Urban Infrastructure,Government/Barren,39.65,20,23,Hearing of Objections (Sec 15),22,Approved,0,0,0.7,1,1,24.5,0,Compensation
Industrial,Agricultural,45.07,98,131,Award & Compensation (Sec 23),77,Not Applicable,0,3,0.75,1,1,16.6,0,Compensation
Industrial,Agricultural,51.2,98,210,R&R Implementation,61,Pending,0,2,0.94,1,0,26.4,0,Rehabilitation & Resettlement
Highways,Agricultural,48.84,94,196,Hearing of Objections (Sec 15),46,Approved,1,2,0.83,1,1,22.4,0,Legal
Railways,Government/Barren,169.94,74,174,R&R Implementation,161,Approved,0,2,0.8,1,1,26.1,0,Compensation
Industrial,Agricultural,37.38,101,114,Award & Compensation (Sec 23),253,Approved,0,4,0.88,1,0,50.2,1,Rehabilitation & Resettlement
Highways,Residential,30.36,84,200,Physical Possession,107,Not Applicable,3,4,0.94,1,0,52.2,1,Legal
Railways,Government/Barren,53.37,14,33,Preliminary Notification (Sec 11),103,Approved,0,2,0.91,1,1,12.2,0,Possession
Energy,Forest,72.05,39,94,Declaration of Acquisition (Sec 19),21,Approved,0,1,0.75,1,1,29.7,0,Compensation
Highways,Agricultural,131.27,288,554,Physical Possession,118,Not Applicable,2,5,0.89,1,1,45.6,0,Legal
Highways,Agricultural,17.51,37,56,Award & Compensation (Sec 23),76,Approved,0,2,0.92,1,1,16.6,0,Compensation
Urban Infrastructure,Agricultural,73.91,98,199,Declaration of Acquisition (Sec 19),45,Approved,0,2,1.01,1,0,5.0,0,Rehabilitation & Resettlement
Railways,Forest,242.74,107,167,Physical Possession,139,Approved,0,1,0.66,1,1,40.8,0,Compensation
Industrial,Government/Barren,57.97,22,46,Award & Compensation (Sec 23),79,Approved,0,2,0.74,1,1,30.9,0,Compensation
Energy,Residential,36.99,209,445,Preliminary Notification (Sec 11),19,Approved,0,1,0.96,1,0,19.5,0,Rehabilitation & Resettlement
Industrial,Agricultural,62.85,167,346,Award & Compensation (Sec 23),44,Pending,0,3,0.92,1,0,35.7,0,Rehabilitation & Resettlement
Urban Infrastructure,Government/Barren,75.89,28,64,Physical Possession,40,Approved,2,1,0.94,1,1,24.4,0,Legal
Railways,Agricultural,106.95,153,240,Survey & Demarcation,55,Approved,0,7,0.69,1,0,65.2,1,Rehabilitation & Resettlement
Irrigation,Commercial,270.73,1663,3299,Declaration of Acquisition (Sec 19),314,Approved,0,5,0.85,1,1,31.7,0,Compensation
Urban Infrastructure,Residential,72.69,362,855,Physical Possession,31,Approved,6,3,0.74,1,1,69.7,1,Legal
Highways,Agricultural,161.55,214,382,Preliminary Notification (Sec 11),55,Pending,0,1,0.8,1,1,33.9,0,Approval
Energy,Agricultural,76.75,151,232,Hearing of Objections (Sec 15),297,Not Applicable,2,0,0.65,1,0,89.3,1,Legal
Irrigation,Agricultural,399.11,1113,1920,Declaration of Acquisition (Sec 19),36,Approved,1,2,0.81,1,0,38.9,0,Rehabilitation & Resettlement
Railways,Agricultural,103.13,127,216,R&R Implementation,170,Approved,2,0,0.87,1,1,49.5,0,Legal
Highways,Agricultural,31.35,57,67,Physical Possession,72,Approved,0,2,0.93,1,0,5.0,0,Compensation
Highways,Agricultural,69.68,100,231,Physical Possession,205,Approved,0,2,0.88,1,1,35.0,0,Compensation
Energy,Government/Barren,34.79,10,11,Preliminary Notification (Sec 11),36,Pending,0,3,0.68,1,1,53.4,1,Approval
Industrial,Forest,20.34,5,8,Declaration of Acquisition (Sec 19),109,Pending,0,5,0.95,1,1,43.2,0,Approval
Highways,Agricultural,217.18,332,805,Preliminary Notification (Sec 11),213,Approved,1,2,0.9,1,1,35.3,0,Legal
Highways,Government/Barren,86.31,31,58,Survey & Demarcation,20,Approved,0,3,0.78,1,1,12.7,0,Documentation/Survey
Industrial,Commercial,18.09,56,118,Declaration of Acquisition (Sec 19),57,Approved,0,1,0.79,1,0,17.7,0,Compensation
Energy,Government/Barren,9.73,4,5,R&R Implementation,52,Approved,0,0,0.96,1,1,6.2,0,Possession
Urban Infrastructure,Agricultural,32.55,81,150,Award & Compensation (Sec 23),16,Approved,0,2,0.79,1,1,15.8,0,Compensation
Urban Infrastructure,Government/Barren,50.16,26,40,Survey & Demarcation,26,Approved,0,2,0.74,1,1,18.9,0,Compensation
Highways,Commercial,247.77,1154,2108,Survey & Demarcation,63,Approved,2,1,0.88,1,1,35.6,0,Legal
Highways,Agricultural,121.61,308,724,R&R Implementation,71,Approved,3,2,0.95,1,0,45.1,0,Legal
Highways,Agricultural,114.15,202,336,Survey & Demarcation,148,Pending,3,0,0.73,1,0,98.0,1,Legal
Irrigation,Commercial,94.1,487,958,Physical Possession,147,Approved,0,3,0.84,1,1,20.6,0,Compensation
Industrial,Government/Barren,51.03,13,26,Preliminary Notification (Sec 11),46,Approved,0,4,0.94,1,1,5.0,0,Compensation
Irrigation,Agricultural,67.92,146,247,Preliminary Notification (Sec 11),47,Pending,0,3,0.87,1,0,53.0,1,Approval
Highways,Agricultural,46.02,127,247,Preliminary Notification (Sec 11),220,Approved,0,1,0.57,0,1,64.0,1,Compensation
Urban Infrastructure,Forest,73.95,39,90,Award & Compensation (Sec 23),152,Pending,2,2,0.94,1,1,63.5,1,Legal
Highways,Agricultural,77.48,158,240,R&R Implementation,40,Not Applicable,0,3,0.78,1,0,35.3,0,Rehabilitation & Resettlement
Railways,Government/Barren,127.26,70,84,Survey & Demarcation,299,Approved,0,2,0.88,1,1,32.2,0,Documentation/Survey
Railways,Forest,134.74,49,113,Physical Possession,272,Approved,4,2,0.81,1,1,77.8,1,Legal
Urban Infrastructure,Agricultural,50.4,134,307,Award & Compensation (Sec 23),28,Approved,0,2,0.8,1,0,28.0,0,Rehabilitation & Resettlement
Urban Infrastructure,Forest,28.48,15,35,Preliminary Notification (Sec 11),102,Approved,0,5,0.94,1,1,27.5,0,Compensation
Urban Infrastructure,Residential,29.09,162,310,Award & Compensation (Sec 23),115,Approved,0,2,0.73,1,1,33.5,0,Compensation
Highways,Government/Barren,144.41,52,62,Physical Possession,42,Not Applicable,0,2,0.84,1,1,17.5,0,Compensation
Urban Infrastructure,Commercial,8.08,23,28,Survey & Demarcation,53,Approved,2,3,1.04,0,1,31.9,0,Legal
Urban Infrastructure,Commercial,6.72,32,69,Preliminary Notification (Sec 11),15,Approved,0,2,0.99,1,1,5.0,0,Compensation
Railways,Government/Barren,40.24,12,18,Hearing of Objections (Sec 15),104,Approved,0,0,0.8,1,1,27.9,0,Compensation
Urban Infrastructure,Agricultural,43.07,78,134,Declaration of Acquisition (Sec 19),68,Approved,0,5,1.0,1,1,5.0,0,Compensation
Industrial,Government/Barren,53.41,13,27,Preliminary Notification (Sec 11),43,Approved,0,0,0.91,1,1,5.0,0,Possession
Urban Infrastructure,Agricultural,11.75,31,38,Preliminary Notification (Sec 11),163,Pending,2,1,0.86,0,1,86.4,1,Approval
Industrial,Agricultural,40.27,75,100,Award & Compensation (Sec 23),68,Approved,0,0,0.84,1,1,20.7,0,Rehabilitation & Resettlement
Energy,Government/Barren,15.12,3,3,Declaration of Acquisition (Sec 19),36,Approved,0,2,0.91,1,1,9.5,0,Compensation
Irrigation,Residential,297.64,1581,3706,Declaration of Acquisition (Sec 19),19,Approved,0,9,0.79,1,1,38.9,0,Compensation
Irrigation,Agricultural,218.13,371,511,Hearing of Objections (Sec 15),372,Approved,1,3,0.64,1,0,84.6,1,Rehabilitation & Resettlement
Irrigation,Agricultural,258.48,482,564,Preliminary Notification (Sec 11),372,Not Applicable,0,1,0.63,1,0,61.5,1,Rehabilitation & Resettlement
Urban Infrastructure,Government/Barren,5.83,1,2,Preliminary Notification (Sec 11),33,Approved,7,2,0.87,1,1,57.9,1,Legal
Energy,Agricultural,46.1,110,198,Physical Possession,73,Not Applicable,2,1,0.8,1,1,42.1,0,Legal
Irrigation,Commercial,242.11,1148,2854,Preliminary Notification (Sec 11),113,Approved,0,4,0.57,1,0,57.7,1,Rehabilitation & Resettlement
Urban Infrastructure,Government/Barren,48.28,20,47,Hearing of Objections (Sec 15),15,Pending,0,0,0.85,1,1,38.3,0,Approval
Highways,Government/Barren,203.39,65,146,Hearing of Objections (Sec 15),54,Approved,0,4,0.73,1,1,37.2,0,Compensation
Urban Infrastructure,Government/Barren,37.67,18,23,Survey & Demarcation,184,Approved,1,0,0.82,1,1,44.4,0,Legal
Industrial,Agricultural,37.14,97,233,Award & Compensation (Sec 23),65,Pending,0,1,0.92,1,1,33.0,0,Approval
Highways,Agricultural,34.35,43,47,Award & Compensation (Sec 23),112,Not Applicable,0,1,0.68,1,1,43.3,0,Compensation
Highways,Agricultural,171.28,395,882,Hearing of Objections (Sec 15),26,Approved,1,4,0.93,1,0,32.7,0,Rehabilitation & Resettlement
Highways,Agricultural,176.62,375,789,Hearing of Objections (Sec 15),59,Approved,4,5,0.94,1,0,53.7,1,Legal
Irrigation,Commercial,195.61,621,967,Physical Possession,34,Not Applicable,1,2,0.92,1,0,31.7,0,Rehabilitation & Resettlement
Irrigation,Agricultural,334.19,781,1734,Survey & Demarcation,18,Approved,1,6,0.98,1,1,20.9,0,Legal
Highways,Forest,153.88,51,127,R&R Implementation,44,Pending,0,8,1.0,1,1,55.8,1,Approval
Industrial,Government/Barren,22.21,11,16,Physical Possession,95,Approved,0,3,0.88,1,1,10.7,0,Compensation
Railways,Forest,82.58,22,31,Award & Compensation (Sec 23),21,Rejected,0,3,0.79,1,1,65.9,1,Approval
Irrigation,Agricultural,141.84,207,255,Declaration of Acquisition (Sec 19),164,Not Applicable,3,4,0.92,1,1,46.4,0,Legal
Industrial,Residential,11.25,62,98,Physical Possession,64,Approved,0,2,0.53,1,0,27.5,0,Compensation
Industrial,Agricultural,69.01,170,289,Hearing of Objections (Sec 15),27,Not Applicable,0,1,0.75,1,1,13.7,0,Compensation
Highways,Agricultural,15.87,28,69,Preliminary Notification (Sec 11),63,Not Applicable,0,0,0.67,0,1,33.5,0,Compensation
Industrial,Agricultural,45.28,85,98,Hearing of Objections (Sec 15),81,Approved,0,0,0.75,1,1,5.8,0,Compensation
Energy,Residential,12.51,38,93,Physical Possession,20,Pending,2,2,0.91,1,1,48.1,0,Legal
Industrial,Agricultural,61.42,77,183,Declaration of Acquisition (Sec 19),132,Approved,0,6,0.73,1,0,46.6,0,Possession
Industrial,Commercial,21.38,112,149,Declaration of Acquisition (Sec 19),50,Not Applicable,0,1,0.62,1,0,42.5,0,Rehabilitation & Resettlement
Urban Infrastructure,Agricultural,35.87,76,112,Award & Compensation (Sec 23),127,Pending,0,1,0.96,1,0,31.4,0,Approval
Industrial,Agricultural,25.74,35,38,Preliminary Notification (Sec 11),167,Approved,1,1,0.85,1,1,33.0,0,Legal
Industrial,Agricultural,31.49,81,186,Declaration of Acquisition (Sec 19),223,Pending,0,1,0.84,1,1,58.6,1,Approval
Industrial,Agricultural,56.63,92,162,Preliminary Notification (Sec 11),162,Approved,4,3,0.87,1,1,61.1,1,Legal
Urban Infrastructure,Residential,9.72,59,73,Survey & Demarcation,151,Not Applicable,2,5,0.88,1,1,37.4,0,Legal
Highways,Forest,40.49,13,28,Preliminary Notification (Sec 11),79,Pending,0,9,0.9,1,1,46.1,0,Compensation
Irrigation,Government/Barren,360.38,98,230,Survey & Demarcation,193,Approved,0,3,0.98,1,1,23.4,0,Documentation/Survey
Industrial,Forest,71.98,19,45,Declaration of Acquisition (Sec 19),51,Approved,6,4,0.87,1,1,67.2,1,Legal
Highways,Agricultural,68.89,146,160,Award & Compensation (Sec 23),17,Pending,0,2,0.97,1,0,41.4,0,Rehabilitation & Resettlement
Railways,Agricultural,229.38,350,692,R&R Implementation,179,Not Applicable,0,8,1.02,1,1,20.9,0,Possession
Railways,Residential,77.54,354,664,Preliminary Notification (Sec 11),78,Pending,0,2,0.73,1,1,45.2,0,Approval
Irrigation,Agricultural,290.95,780,1813,Physical Possession,129,Approved,0,0,0.76,1,1,17.3,0,Documentation/Survey
Railways,Government/Barren,216.7,89,107,Award & Compensation (Sec 23),193,Approved,1,0,0.91,1,1,32.5,0,Legal
Energy,Agricultural,29.14,42,62,Physical Possession,87,Not Applicable,1,0,0.77,1,1,34.7,0,Legal
Irrigation,Commercial,341.4,992,1967,Award & Compensation (Sec 23),195,Not Applicable,0,5,0.94,1,1,17.9,0,Possession
Highways,Agricultural,194.36,389,857,Physical Possession,103,Approved,3,3,1.0,1,1,46.1,0,Legal
Highways,Agricultural,202.46,408,1014,Preliminary Notification (Sec 11),47,Approved,2,3,0.67,0,1,63.9,1,Legal
Industrial,Government/Barren,74.35,22,26,Physical Possession,45,Approved,2,3,0.94,1,1,26.1,0,Legal
Railways,Forest,183.77,55,110,Declaration of Acquisition (Sec 19),115,Pending,1,3,0.68,1,1,82.9,1,Approval
Energy,Agricultural,28.22,69,83,Survey & Demarcation,44,Not Applicable,0,3,0.72,0,1,24.3,0,Compensation
Industrial,Agricultural,40.24,68,150,Survey & Demarcation,32,Not Applicable,0,2,0.75,1,1,10.9,0,Documentation/Survey
Industrial,Agricultural,56.51,73,167,Hearing of Objections (Sec 15),332,Approved,0,4,0.94,1,0,18.0,0,Possession
Highways,Forest,244.26,77,94,Award & Compensation (Sec 23),53,Approved,0,3,1.03,1,0,19.2,0,Possession
Irrigation,Commercial,438.81,2593,2891,R&R Implementation,43,Approved,0,0,0.88,1,1,18.2,0,Documentation/Survey
Energy,Agricultural,73.1,194,453,R&R Implementation,45,Pending,0,4,0.96,1,1,19.8,0,Approval
